F28BB	󲢻	fvthxn	（蓑衣）
F28BC	󲢼		重字
F28BD	󲢽	fkxz	1、仇，敌；2、打仗；
F28BE	󲢾	fjqxn	磨损
F28BF	󲢿	ghfgxz	门
F28C0	󲣀	ghhjxn	放，转
F28C1	󲣁	ghgghxz	1、借（要还原物）；2、（无须）
F28C2	󲣂	gjghgxb	搬移
F28C3	󲣃	ghghgxn	（祭）献
F28C4	󲣄	gffggxz	1、下子；2、会儿；
F28C5	󲣅	fjgxn	织
F28C6	󲣆	fhhhxz	古，先，前
F28C7	󲣇	ghgggxc	1、（野猫）；2、（黄鼠狼）；
F28C8	󲣈	gkyxn	又
F28C9	󲣉	gjggxn	噢（应允声）
F28CA	󲣊	gjugxn	印章
F28CB	󲣋	fgthxn	将要
F28CC	󲣌	gyghxv	（丧祭歌）
F28CD	󲣍	gghhhgxn	玻（璃）
F28CE	󲣎	ghgghgxn	（奉养）
F28CF	󲣏	fjhhxv	（用嘴）拱
F28D0	󲣐	gjgjxn	堆（动词）
F28D1	󲣑	gjfhxn	（芦苇）
F28D2	󲣒	ghghhgxn	1、锅；2、锅（量词）；
F28D3	󲣓	gyffxn	1、掷，瘊（子）；2、肉瘤；
F28D4	󲣔	ghtfggxn	1、空；2、零；
F28D5	󲣕	ghfjxz	1、对（正）；2、对（准）；
F28D6	󲣖	ghqjhxn	梯（量词）
F28D7	󲣗	ghggjxc	（毛）发
F28D8	󲣘	thtgfhxv	可爱
F28D9	󲣙	fjghxn	申报，禀报
F28DA	󲣚	ghghfgxb	线索
F28DB	󲣛	gjffxb	雇（工）
F28DC	󲣜	ghghggxb	（顽皮，俏皮）
F28DD	󲣝	fggggxn	夜
F28DE	󲣞	dhggxc	（不好意思；难为情）
F28DF	󲣟	gjgjtxn	逮（捕）
F28E0	󲣠	gjgjtxn	缴纳
F28E1	󲣡	fhyggxn	（架子猪（用作育肥的大猪））
F28E2	󲣢	fhpgjxm	短
F28E3	󲣣	ghggjxz	制造
F28E4	󲣤	fjthxn	（酒）曲
F28E5	󲣥	fhgoixz	调拌，搅
F28E6	󲣦	fhgthxm	（牛奶）
F28E7	󲣧	fmhghxn	祭牲
F28E8	󲣨	gdffxb	麻风病
F28E9	󲣩	dgjfxm	（摇）摆
F28EA	󲣪	gqhgjxv	（豆）荚
F28EB	󲣫	fjghxn	查认（字）
F28EC	󲣬	ghffxc	劈
F28ED	󲣭	fhgghxm	干（动词）
F28EE	󲣮	fhgfxm	1、（手）指；2、（脚）趾；
F28EF	󲣯	gjdxc	收拢
F28F0	󲣰	ghghqhxn	冷
F28F1	󲣱	fthioxn	移（栽）
F28F2	󲣲	gygfhxv	霹雳
F28F3	󲣳	gkghxm	前（天）
F28F4	󲣴	ghghhhxc	耙（名词）
F28F5	󲣵	gjthsxn	结合
F28F6	󲣶	fhdfxb	1、吓唬；2、吓跳；
F28F7	󲣷	gjhtgxn	1、（排行第二）；2、次；
F28F8	󲣸	fhgjtxb	1、筛（子）；2、（篦子）；3、（织机篦）；
F28F9	󲣹	gpqghgxn	麻烦
F28FA	󲣺	gjhhjxn	糟蹋
